yearmo,Mkt-RF,SMB,HML
198401,-1.92,-0.35,7.48
198402,-4.77,-1.68,3.41
198403,0.65,0.1,0.53
198404,-0.51,-1.16,1.19
198405,-5.98,0.07,0.26
198406,1.81,-0.24,-2.75
198407,-2.72,-2.2,0.39
198408,10.27,-0.27,-1.74
198409,-0.8,0.15,5.25
198410,-0.84,-1.11,0.59
198411,-1.77,-0.72,3.87
198412,1.85,-0.48,-0.03
198501,7.97,3.28,-5.2
198502,1.22,0.63,-0.36
198503,-0.83,-1.07,4.01
198504,-0.96,0.09,3.6
198505,5.07,-2.3,-0.98
198506,1.27,0.48,0.38
198507,-0.72,2.83,-1.62
198508,-1.01,-0.3,2.34
198509,-4.51,-1.62,1.21
198510,4,-1.5,0.77
198511,6.46,0.19,-2.91
198512,3.88,-0.53,-1.46
198601,0.65,1.15,0.46
198602,7.14,-0.57,-0.63
198603,4.91,-0.54,-0.39
198604,-1.28,2.76,-2.81
198605,4.62,-1.36,-0.14
198606,1.06,-0.93,1.2
198607,-6.43,-3.43,4.66
198608,6.07,-4.16,3.54
198609,-8.59,2.4,3.23
198610,4.64,-2.53,-1.42
198611,1.17,-1.87,-0.02
198612,-3.26,0.19,0.36
198701,12.45,-1.89,-3.18
198702,4.38,3.45,-5.86
198703,1.63,0.5,1.66
198704,-2.09,-1.72,-0.36
198705,0.11,-0.53,0.22
198706,3.91,-2.03,1.13
198707,3.84,-0.57,0.94
198708,3.52,-0.85,-0.98
198709,-2.58,0.58,0.26
198710,-23.19,-8.27,4.18
198711,-7.76,2.68,3.14
198712,6.82,0.03,-4.42
198801,4.21,-0.75,4.93
198802,4.77,3.33,-1.53
198803,-2.26,6.01,0.86
198804,0.57,0.91,1.51
198805,-0.27,-2.54,2.44
198806,4.78,2.02,-1.35
198807,-1.25,-0.23,2.18
198808,-3.31,0.07,2.14
198809,3.31,-1.34,-0.75
198810,1.16,-2.92,2.03
198811,-2.27,-1.64,1.47
198812,1.48,1.89,-1.83
198901,6.07,-2.19,0.61
198902,-2.23,2.81,0.99
198903,1.57,0.67,0.47
198904,4.35,-0.67,-1.48
198905,3.28,-0.09,-0.9
198906,-1.33,-0.97,2.21
198907,7.18,-4.11,-2.8
198908,1.43,0.57,0.62
198909,-0.76,0.3,-1.27
198910,-3.65,-3.24,-1.16
198911,1.04,-1.19,-1.13
198912,1.18,-2.37,0.15
199001,-7.8,-1.14,0.83
199002,1.12,0.97,0.65
199003,1.83,1.47,-2.9
199004,-3.36,-0.47,-2.57
199005,8.43,-2.56,-3.89
199006,-1.09,1.35,-2
199007,-1.9,-3.08,-0.06
199008,-10.12,-3.5,1.56
199009,-6.11,-3.64,0.59
199010,-1.92,-5.52,0.08
199011,6.35,0.42,-2.97
199012,2.46,0.79,-1.57
199101,4.69,3.78,-1.48
199102,7.19,4.01,-0.62
199103,2.66,3.88,-1.3
199104,-0.28,0.5,1.49
199105,3.66,-0.39,-0.52
199106,-4.94,0.18,1.08
199107,4.24,-0.97,-1.3
199108,2.32,1.58,-0.79
199109,-1.59,1.68,-1.23
199110,1.29,0.77,-0.43
199111,-4.2,-0.51,-1.77
199112,10.85,-2.26,-4.23
199201,-0.59,8.48,4.67
199202,1.08,0.83,6.51
199203,-2.65,-0.97,3.49
199204,1.09,-6.12,4.36
199205,0.3,0.41,1.11
199206,-2.33,-3.1,3.24
199207,3.78,-0.45,-0.51
199208,-2.38,-0.1,-1.09
