yearmo,Mom
198401,-2.57
198402,0.45
198403,1.09
198404,2.14
198405,1.54
198406,-0.53
198407,2.77
198408,-5.62
198409,3.66
198410,3.28
198411,1.56
198412,1.46
198501,-6.82
198502,1.9
198503,1.78
198504,2.95
198505,4.05
198506,3.37
198507,-3.69
198508,1.77
198509,1.6
198510,4.87
198511,-0.55
198512,-0.23
198601,2.95
198602,2.56
198603,2.38
198604,-0.35
198605,2.06
198606,4.94
198607,1.89
198608,-5.17
198609,-5.68
198610,4.48
198611,-0.27
198612,0.45
198701,2.03
198702,-2.22
198703,1.66
198704,0.2
198705,-0.77
198706,-0.22
198707,2.57
198708,-0.95
198709,0.8
198710,-7.75
198711,-1.21
198712,5.88
198801,-7.35
198802,-1.45
198803,0.61
198804,2.2
198805,0.66
198806,-3.02
198807,0.66
198808,0.36
198809,0.29
198810,1.3
198811,0.18
198812,0.31
198901,-0.25
198902,0.99
198903,3.51
198904,1.71
198905,1.42
198906,0.4
198907,5.32
198908,-0.49
198909,3.51
198910,1.35
198911,2.7
198912,2.79
199001,-2.98
199002,-0.51
199003,1.72
199004,2.28
199005,3.14
199006,2.49
199007,6.04
199008,1.97
199009,5.71
199010,6.74
199011,-5.36
199012,0.25
199101,-6.47
199102,-4.94
199103,2.71
199104,-2.32
199105,-0.09
199106,0.42
199107,4.26
199108,1.58
199109,1.75
199110,3.18
199111,1.18
199112,8.29
199201,-2.5
199202,-0.7
199203,-0.21
199204,-2.55
199205,0.06
199206,-0.57
199207,1.47
199208,-0.47
199209,1.44
199210,2.5
199211,-0.25
199212,4.33
199301,4.85
199302,3.18
199303,3.7
199304,0.36
199305,0.21
199306,4.57
199307,3.22
199308,2.54
199309,3.39
199310,-2.67
199311,-4.77
199312,2.33
199401,0.11
199402,-0.34
199403,-1.32
199404,0.33
199405,-2.05
199406,-0.9
199407,0.11
199408,1.54
199409,1.32
199410,1.31
199411,-0.12
199412,3.45
199501,-1.84
199502,-0.47
199503,0.45
199504,1.8
199505,-0.55
199506,3.01
199507,2.6
199508,0.05
199509,2.86
199510,4.17
199511,-0.72
199512,2.48
199601,0.57
199602,0.57
199603,-1.85
199604,-0.94
199605,1.62
199606,1.02
199607,-0.15
199608,-0.02
199609,2.67
199610,3.72
199611,-2.35
199612,0.53
199701,1.87
199702,-2.18
199703,0.88
199704,4.83
199705,-5.19
199706,2.59
199707,3.7
199708,-2.57
199709,1.46
199710,-0.53
199711,0.38
199712,3.91
199801,0.05
199802,-1.19
199803,2.13
199804,0.76
199805,1.91
199806,7.26
199807,3.79
199808,1.9
199809,-0.65
199810,-5.33
199811,1.13
199812,8.87
199901,2.84
199902,-0.14
199903,-1.21
199904,-8.98
199905,-5.25
199906,4.66
199907,1.7
199908,2.98
199909,6.38
199910,5.45
199911,5.49
199912,13.14
200001,1.86
200002,18.02
200003,-6.85
200004,-8.6
200005,-8.99
200006,16.63
200007,-0.16
200008,5.59
200009,1.89
200010,-4.56
200011,-2.17
200012,6.59
200101,-25.35
200102,12.6
200103,8.65
200104,-8.01
200105,2.15
200106,0.62
200107,5.48
200108,5.46
